#Data fitted with model: Rod_Sphere on Sun Nov 12 10:58:21 2017
#[[Fit Statistics]]
#    # function evals   = 18
#    # data points      = 855
#    # variables        = 2
#    chi-square         = 3.608
#    reduced chi-square = 0.004
#    Akaike info crit   = -4671.179
#    Bayesian info crit = -4661.676
#[[Variables]]
#    R:      12 (fixed)
#    Rsig:   0.22120904 +/- 0.001440 (0.65%) (init= 0.1563)
#    qc:     0.001 (fixed)
#    norm:   2.9143e-07 +/- 1.50e-09 (0.52%) (init= 2.198e-07)
#    bkg:    0 (fixed)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(Rsig, norm)                = -0.926 
#x 	 y	 yerr 	 yfit
6.650000000000000355e-02 1.155899999999999983e-01 2.801899999999999877e-02 1.035450739873420428e-01
6.669999999999999540e-02 1.161399999999999932e-01 2.840700000000000169e-02 1.033934285930086239e-01
6.700000000000000400e-02 1.146999999999999964e-01 2.842099999999999835e-02 1.031655362577952317e-01
6.729999999999999871e-02 1.113600000000000007e-01 2.881099999999999980e-02 1.029371399133883064e-01
6.759999999999999343e-02 1.073999999999999955e-01 2.917499999999999954e-02 1.027082452811339669e-01
6.790000000000000202e-02 1.096300000000000052e-01 2.894800000000000151e-02 1.024788580850557185e-01
6.819999999999999674e-02 1.113399999999999945e-01 2.890300000000000161e-02 1.022489840515978105e-01
6.840000000000000246e-02 1.105600000000000055e-01 2.882799999999999946e-02 1.020954670596097291e-01
6.869999999999999718e-02 1.122400000000000064e-01 2.913999999999999924e-02 1.018647943617155549e-01
6.900000000000000577e-02 1.152399999999999952e-01 2.906200000000000103e-02 1.016336501068522413e-01
6.930000000000000049e-02 1.114300000000000013e-01 2.881699999999999887e-02 1.014020400281586964e-01
6.959999999999999520e-02 1.070099999999999940e-01 2.866199999999999998e-02 1.011699698600091180e-01
6.980000000000000093e-02 1.074999999999999983e-01 2.877199999999999896e-02 1.010150036415652930e-01
7.009999999999999565e-02 1.101199999999999957e-01 2.924900000000000069e-02 1.007821794032682794e-01
7.040000000000000424e-02 1.079800000000000065e-01 2.950699999999999851e-02 1.005489103713106819e-01
7.069999999999999896e-02 1.021500000000000047e-01 2.917300000000000101e-02 1.003152022824534140e-01
