#Data fitted with model: Sphere on Wed Nov 29 15:38:36 2017
#[[Fit Statistics]]
#    # function evals   = 50
#    # data points      = 855
#    # variables        = 3
#    chi-square         = 17.066
#    reduced chi-square = 0.020
#    Akaike info crit   = -3340.458
#    Bayesian info crit = -3326.205
#[[Variables]]
#    R:        13.6698507 +/- 0.265657 (1.94%) (init= 10)
#    Rsig:     2.43814474 +/- 0.163070 (6.69%) (init= 2)
#    rhoc:     1 (fixed)
#    rhosol:   0 (fixed)
#    norm:     1.1850e-07 +/- 6.38e-09 (5.38%) (init= 2e-07)
#    bkg:      0 (fixed)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(R, norm)                   = -0.994 
#    C(R, Rsig)                   = -0.989 
#    C(Rsig, norm)                =  0.968 
#x 	 y	 yerr 	 yfit
5.639999999999999875e-02 1.087499999999999994e-01 2.892499999999999932e-02 1.107222830937832220e-01
5.659999999999999754e-02 1.115199999999999941e-01 2.911400000000000099e-02 1.105909183886653741e-01
5.689999999999999919e-02 1.120600000000000068e-01 2.865099999999999938e-02 1.103932710960014441e-01
5.720000000000000084e-02 1.107899999999999996e-01 2.867600000000000010e-02 1.101949076811718359e-01
5.750000000000000250e-02 1.088200000000000001e-01 2.886800000000000130e-02 1.099958328351565845e-01
5.779999999999999721e-02 1.087899999999999978e-01 2.851300000000000015e-02 1.097960512609754830e-01
5.800000000000000294e-02 1.068199999999999983e-01 2.851599999999999968e-02 1.096624732459520191e-01
5.829999999999999766e-02 1.069100000000000050e-01 2.843700000000000047e-02 1.094615242748031153e-01
5.859999999999999931e-02 1.044199999999999989e-01 2.812900000000000122e-02 1.092598811744216608e-01
5.890000000000000097e-02 1.051300000000000012e-01 2.772499999999999964e-02 1.090575486904940689e-01
5.920000000000000262e-02 1.046600000000000030e-01 2.735399999999999984e-02 1.088545315799385321e-01
5.949999999999999734e-02 1.073599999999999971e-01 2.759400000000000047e-02 1.086508346107310924e-01
5.970000000000000306e-02 1.085799999999999960e-01 2.798199999999999993e-02 1.085146612914966030e-01
5.999999999999999778e-02 1.103800000000000059e-01 2.884000000000000105e-02 1.083098418495205134e-01
6.029999999999999943e-02 1.089699999999999974e-01 2.898200000000000082e-02 1.081043553162318177e-01
6.060000000000000109e-02 1.080200000000000049e-01 2.816600000000000006e-02 1.078982064986612616e-01
6.090000000000000274e-02 1.061300000000000021e-01 2.776500000000000148e-02 1.076914002140834103e-01
6.110000000000000153e-02 1.038499999999999979e-01 2.807700000000000126e-02 1.075531664817137717e-01
6.140000000000000319e-02 1.028199999999999947e-01 2.844299999999999953e-02 1.073452751511126124e-01
6.169999999999999790e-02 1.013399999999999995e-01 2.842700000000000088e-02 1.071367392483183051e-01
6.199999999999999956e-02 9.957199999999999385e-02 2.820500000000000090e-02 1.069275636266666940e-01
6.230000000000000121e-02 1.055999999999999994e-01 2.800700000000000064e-02 1.067177531489192366e-01
6.250000000000000000e-02 1.126400000000000040e-01 2.820800000000000043e-02 1.065775292048125322e-01
6.279999999999999472e-02 1.123200000000000032e-01 2.819899999999999837e-02 1.063666714647508726e-01
6.310000000000000331e-02 1.094500000000000056e-01 2.809700000000000045e-02 1.061551918806990374e-01
6.339999999999999802e-02 1.095000000000000001e-01 2.808799999999999839e-02 1.059430953484728349e-01
6.370000000000000662e-02 1.081199999999999939e-01 2.818800000000000125e-02 1.057303867724918023e-01
6.389999999999999847e-02 1.078299999999999953e-01 2.817800000000000166e-02 1.055882434566186301e-01
6.419999999999999318e-02 1.087999999999999939e-01 2.812800000000000022e-02 1.053745257292320880e-01
6.450000000000000178e-02 1.089100000000000068e-01 2.778500000000000067e-02 1.051602090772636167e-01
6.479999999999999649e-02 1.131000000000000061e-01 2.787699999999999900e-02 1.049452984351696289e-01
6.510000000000000508e-02 1.123900000000000038e-01 2.775999999999999995e-02 1.047297987451862589e-01
6.529999999999999694e-02 1.105000000000000010e-01 2.768199999999999827e-02 1.045858074804272286e-01
6.560000000000000553e-02 1.097000000000000058e-01 2.740899999999999934e-02 1.043693370472779380e-01
6.590000000000000024e-02 1.112100000000000033e-01 2.756099999999999869e-02 1.041522907822242244e-01
6.619999999999999496e-02 1.145199999999999968e-01 2.783800000000000163e-02 1.039346736545140870e-01
6.650000000000000355e-02 1.155899999999999983e-01 2.801899999999999877e-02 1.037164906403495318e-01
6.669999999999999540e-02 1.161399999999999932e-01 2.840700000000000169e-02 1.035707233766662849e-01
6.700000000000000400e-02 1.146999999999999964e-01 2.842099999999999835e-02 1.033516082949635373e-01
6.729999999999999871e-02 1.113600000000000007e-01 2.881099999999999980e-02 1.031319406293283725e-01
6.759999999999999343e-02 1.073999999999999955e-01 2.917499999999999954e-02 1.029117253799452097e-01
6.790000000000000202e-02 1.096300000000000052e-01 2.894800000000000151e-02 1.026909675531260807e-01
6.819999999999999674e-02 1.113399999999999945e-01 2.890300000000000161e-02 1.024696721611330907e-01
6.840000000000000246e-02 1.105600000000000055e-01 2.882799999999999946e-02 1.023218457302955409e-01
6.869999999999999718e-02 1.122400000000000064e-01 2.913999999999999924e-02 1.020996655503066813e-01
6.900000000000000577e-02 1.152399999999999952e-01 2.906200000000000103e-02 1.018769611989199658e-01
6.930000000000000049e-02 1.114300000000000013e-01 2.881699999999999887e-02 1.016537377087002036e-01
6.959999999999999520e-02 1.070099999999999940e-01 2.866199999999999998e-02 1.014300001173362165e-01
6.980000000000000093e-02 1.074999999999999983e-01 2.877199999999999896e-02 1.012805586013390963e-01
7.009999999999999565e-02 1.101199999999999957e-01 2.924900000000000069e-02 1.010559753829551738e-01
7.040000000000000424e-02 1.079800000000000065e-01 2.950699999999999851e-02 1.008308915209688711e-01
7.069999999999999896e-02 1.021500000000000047e-01 2.917300000000000101e-02 1.006053120703437886e-01
7.099999999999999367e-02 1.005599999999999966e-01 2.898500000000000035e-02 1.003792420903418664e-01
7.119999999999999940e-02 1.002099999999999935e-01 2.833000000000000101e-02 1.002282587542925180e-01
7.149999999999999412e-02 1.022499999999999937e-01 2.799400000000000152e-02 1.000013824792501671e-01
7.180000000000000271e-02 1.033499999999999974e-01 2.811200000000000157e-02 9.977402918587011116e-02
7.209999999999999742e-02 1.053100000000000008e-01 2.826899999999999899e-02 9.954620394766645897e-02
7.240000000000000602e-02 1.044599999999999973e-01 2.812600000000000169e-02 9.931791184162877539e-02
7.259999999999999787e-02 1.011900000000000022e-01 2.824300000000000074e-02 9.916546024190560360e-02
7.290000000000000646e-02 1.000299999999999939e-01 2.812200000000000116e-02 9.893640131389172532e-02
7.320000000000000118e-02 9.692399999999999627e-02 2.779900000000000079e-02 9.870688907233500509e-02
7.349999999999999589e-02 9.222900000000000542e-02 2.743200000000000152e-02 9.847692860546283788e-02
7.380000000000000449e-02 9.327100000000000668e-02 2.713300000000000087e-02 9.824652500415748113e-02
